SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,17-05167309,08/04/2017,Front,,Open,1ST FLOOR WINDOW,Vacant,false,false,1231,N,HARDING,AVE,60651,1149826.08941441,1907916.09157205,37,25,23,41.90323603845399,-87.72510020858748,"(41.903236038454, -87.725100208587)"
Vacant/Abandoned Building,17-05172696,08/04/2017,Rear,,Open,,Vacant,false,false,5942,S,PEORIA,ST,60621,1171323.35830715,1865434.14648051,16,7,68,41.78621654738613,-87.6473828702868,"(41.786216547386, -87.647382870287)"
Vacant/Abandoned Building,17-05174699,08/04/2017,Front,,Open,REAR DOOR,Vacant,false,true,6440,S,SEELEY,AVE,60636,1163802.56097257,1861933.59600216,16,7,67,41.7767719172303,-87.6750561873273,"(41.77677191723, -87.675056187327)"
Vacant/Abandoned Building,17-05176718,08/04/2017,Front,,Open,ALL AROUND INCLUDING BASEMENT,Vacant,false,true,6428,S,PAULINA,ST,60636,1166102.02708835,1862042.96293263,15,7,67,41.777023423324366,-87.66662330315884,"(41.777023423324, -87.666623303159)"
Vacant/Abandoned Building,17-05177669,08/04/2017,Front,,Boarded,,Vacant,false,false,9015,S,HOUSTON,AVE,60617,1198088.6887316,1845774.27600949,10,4,46,41.73164067814702,-87.54990594503731,"(41.731640678147, -87.549905945037)"
Vacant/Abandoned Building,17-05181348,08/04/2017,Front,,Open,SIDE AND FRONT DOORS,Vacant,false,false,10917,S,BUFFALO,AVE,60617,1199875.61820683,1833172.16172849,10,4,52,41.69701459847979,-87.54378322549623,"(41.69701459848, -87.543783225496)"
Vacant/Abandoned Building,17-05182355,08/04/2017,Front,,Open,N/A,Vacant,true,false,9156,S,GREENWOOD,AVE,60619,1185146.67060683,1844489.50147264,8,4,47,41.7284285882478,-87.59735715836545,"(41.728428588248, -87.597357158365)"
Vacant/Abandoned Building,17-05184235,08/04/2017,Front,,Open,,Vacant,false,true,3507,W,CARROLL,AVE,60624,1152941.28770314,1902175.63251269,28,11,27,41.88742247754093,-87.71380962398759,"(41.887422477541, -87.713809623988)"
Vacant/Abandoned Building,17-05168254,08/04/2017,Front,,Open,,Vacant,false,false,3156,S,MAY,ST,60608,1169163.93422189,1883813.74677883,11,9,60,41.83669912204944,-87.65476828894451,"(41.836699122049, -87.654768288945)"
Vacant/Abandoned Building,17-05168645,08/04/2017,Front,,Open,ALL AROUND THE BUILDING,Vacant,false,true,754,W,73RD,ST,60621,1172484.80998579,1856464.65036603,6,7,68,41.761577691780595,-87.64338825335847,"(41.761577691781, -87.643388253358)"
Vacant/Abandoned Building,17-05170716,08/04/2017,Front,,Open,,Vacant,false,false,12755,S,EMERALD,AVE,60628,1173651.62826949,1820192.93127712,34,5,53,41.6620170755436,-87.64018193164107,"(41.662017075544, -87.640181931641)"
Vacant/Abandoned Building,17-05166716,08/04/2017,Front,,Open,,Vacant,false,false,4430,W,ROOSEVELT,RD,60624,1147033.93489135,1894335.03039709,24,11,29,41.86602192553678,-87.73570387853914,"(41.866021925537, -87.735703878539)"
Vacant/Abandoned Building,17-05176564,08/04/2017,Front,,Open,FRONT/REAR,Vacant,false,false,2146,S,MILLARD,AVE,60623,1152365.75706743,1889597.31513262,24,10,29,41.852917560759145,-87.71625521616049,"(41.852917560759, -87.71625521616)"
Vacant/Abandoned Building,17-04871377,07/24/2017,,,,,,,,4738,W,MONROE,ST,60644,1144816.55068475,1899146.42200254,28,11,25,41.87926705085061,-87.74372282457169,"(41.879267050851, -87.743722824572)"
Vacant/Abandoned Building,17-05194423,08/05/2017,Front,,Open,NONE,Vacant,false,false,9223,S,HALSTED,ST,60620,1172597.46589276,1843687.59252011,21,22,73,41.72651328398734,-87.64335084949836,"(41.726513283987, -87.643350849498)"
Vacant/Abandoned Building,17-05188999,08/05/2017,Front,,Open,FRONT AND REAR,Vacant,false,true,830,E,89TH,ST,60619,1183343.41650491,1846143.57678841,8,6,44,41.73300968010835,-87.60391143468317,"(41.733009680108, -87.603911434683)"
Vacant/Abandoned Building,17-05208912,08/05/2017,Front,,Open,DOORS AND WINDOWS,Vacant,false,true,6533,S,WHIPPLE,ST,60629,1157175.52382011,1861155.87309387,17,8,66,41.77477436724595,-87.69937184482787,"(41.774774367246, -87.699371844828)"
Vacant/Abandoned Building,17-05196100,08/05/2017,Front,,Open,,Vacant,false,true,11403,S,RACINE,AVE,60643,1170370.4366863,1829128.75011221,34,22,75,41.686610268123545,-87.65193066818334,"(41.686610268124, -87.651930668183)"
Vacant/Abandoned Building,17-05201268,08/05/2017,Front,,Open,,Vacant,false,true,8715,S,CONSTANCE,AVE,60617,1190034.22051095,1847556.32290924,8,4,48,41.736728177896026,-87.5793548953131,"(41.736728177896, -87.579354895313)"
Vacant/Abandoned Building,17-05207419,08/05/2017,Rear,,Boarded,,Vacant,false,false,7237,S,WINCHESTER,AVE,60636,1164608.09750027,1856672.88489662,17,7,67,41.76231885307183,-87.67225134580235,"(41.762318853072, -87.672251345802)"
Vacant/Abandoned Building,17-05197545,08/05/2017,Rear,,Open,"FRONT AND BACK DOOR, WINDOWS",Vacant,false,true,6616,S,LANGLEY,AVE,60637,1182029.97219593,1861297.53119005,20,3,42,41.77462418667069,-87.60825527590674,"(41.774624186671, -87.608255275907)"
Vacant/Abandoned Building,17-05219763,08/06/2017,Front,,Open,ALL AROUND,Vacant,false,false,11820,S,SANGAMON,ST,60643,1172118.17317341,1826447.161232,34,5,53,41.67921343958077,-87.64561086165799,"(41.679213439581, -87.645610861658)"
Vacant/Abandoned Building,17-05231620,08/06/2017,Front,,Open,BACK DOOR,Vacant,false,true,6650,S,ROCKWELL,ST,60629,1160177.21217939,1860789.63330803,17,8,66,41.77370810526281,-87.68837810354354,"(41.773708105263, -87.688378103544)"
Vacant/Abandoned Building,17-05219045,08/06/2017,Front,,Open,OPEN ALL OVER,Vacant,false,false,8527,S,DREXEL,AVE,60619,1183711.8135119,1848630.84452336,8,6,44,41.739826443547926,-87.6024844594863,"(41.739826443548, -87.602484459486)"
Vacant/Abandoned Building,17-05220844,08/06/2017,Front,,Open,FRONT DOOR,Vacant,false,true,5656,S,HOYNE,AVE,60636,1163327.08839756,1867127.70569409,15,7,67,41.79103521097167,-87.67665383465041,"(41.791035210972, -87.67665383465)"
Vacant/Abandoned Building,17-05248412,08/07/2017,Front,,Open,FRONT DOOR,Vacant,false,true,5210,S,LAFLIN,ST,60609,1167219.2023851,1870186.06812813,20,9,61,41.79934525168456,-87.66229476489598,"(41.799345251685, -87.662294764896)"
