,,precision at 99%,recall at  at 99%,f1 at  at 99%,precision at 95% ,recall at 95% ,f1 at 95% ,precision at 90%,recall at 90%,f1 at 90%,precision at 80%,recall at 80%,f1 at 80%,precision at 50%,recall at 50%,f1 at 50%,auc
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'distance', 'auto')",0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'distance', 'ball_tree')",0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'distance', 'kd_tree')",0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'uniform', 'auto')",0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'uniform', 'ball_tree')",0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'uniform', 'kd_tree')",0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0.876394361,0.852912644,0.864494077,0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'distance', 'auto')",0.506030862,0.957407493,0.662108845,0.506030862,0.957407493,0.662108845,0.706059756,0.930105788,0.802743058,0.829843045,0.891486118,0.859560821,0.949903661,0.842657181,0.893072215,0.405621072
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'distance', 'ball_tree')",0.506030862,0.957407493,0.662108845,0.506030862,0.957407493,0.662108845,0.706059756,0.930105788,0.802743058,0.829843045,0.891486118,0.859560821,0.949903661,0.842657181,0.893072215,0.405621072
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'distance', 'kd_tree')",0.506030862,0.957407493,0.662108845,0.506030862,0.957407493,0.662108845,0.706059756,0.930105788,0.802743058,0.829843045,0.891486118,0.859560821,0.949903661,0.842657181,0.893072215,0.405621072
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'uniform', 'auto')",0.499771365,0.95930152,0.657172695,0.499771365,0.95930152,0.657172695,0.705486887,0.930752529,0.802613233,0.82926934,0.892363838,0.859660444,0.949050221,0.842426202,0.89256522,0.411138975
